Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
Two Saints Bar & Kitchen,"North Indian, Bar Food, Oriental, Continental, Italian, Chinese, Mexican, Desserts",4.3,900.0,2.4,"Tajganj, Agra","Good Bartenders, Cafe, Flavorful Creations","North Indian, Bar Food, Oriental, Continental, Italian, Chinese, Mexican, Desserts Good Bartenders, Cafe, Flavorful Creations"
Urban Deck,"Mexican, Italian, North Indian",4.2,1100.0,2.7,"Civil Lines, Agra","Staff, Variety of Beer, Perfect Place","Mexican, Italian, North Indian Staff, Variety of Beer, Perfect Place"
The Wok Bar,"Asian, Japanese, Sushi, Thai, Korean, Desserts",4.4,1200.0,2.7,"Civil Lines, Agra","Great for Dates, Perfect Place, Satisfying Portions","Asian, Japanese, Sushi, Thai, Korean, Desserts Great for Dates, Perfect Place, Satisfying Portions"
Ek Number-Twisted Indian Cafe,"Chinese, North Indian, Continental, Mughlai, Italian, Kebab, Desserts, Beverages",3.8,600.0,3.4,"Civil Lines, Agra","Good Music, Peaceful Ambience, Satisfying Portions","Chinese, North Indian, Continental, Mughlai, Italian, Kebab, Desserts, Beverages Good Music, Peaceful Ambience, Satisfying Portions"
Made In Punjab,"North Indian, Mughlai, Biryani, Rolls, Chinese, Desserts, Beverages",4.6,650.0,2.7,"Civil Lines, Agra","Ambiance, Consistent Quality, Brewed Beer","North Indian, Mughlai, Biryani, Rolls, Chinese, Desserts, Beverages Ambiance, Consistent Quality, Brewed Beer"
NU-CLER,"North Indian, Oriental, Asian, Mediterranean, Italian, Biryani, Fast Food",4.3,1000.0,1.8,"Civil Lines, Agra","Young Crowd, Live Sports Screening, Weekend Brunch","North Indian, Oriental, Asian, Mediterranean, Italian, Biryani, Fast Food Young Crowd, Live Sports Screening, Weekend Brunch"
MoMo Cafe - Courtyard By Marriott,"North Indian, Fast Food, Continental, Beverages, Asian",4.5,1500.0,4.8,"Courtyard by Marriott Agra, Tajganj, Agra","Customizable Dishes, Good Bartenders, Staff","North Indian, Fast Food, Continental, Beverages, Asian Customizable Dishes, Good Bartenders, Staff"
Folks Pub,"North Indian, Chinese",4.1,700.0,3.4,"Civil Lines, Agra","Friendly Staff, Efficient Service, Peaceful Ambience","North Indian, Chinese Friendly Staff, Efficient Service, Peaceful Ambience"
Pind Balluchi,"Mughlai, North Indian",3.9,500.0,6.2,"Sikandra, Agra","Customizable Dishes, Staff, Fresh Ingredients","Mughlai, North Indian Customizable Dishes, Staff, Fresh Ingredients"
Thaliwala Pure Veg Restaurant,"North Indian, Chinese, Beverages",3.5,400.0,3.4,"Tajganj, Agra","Efficient Service, Innovative Dishes, Attentive Service","North Indian, Chinese, Beverages Efficient Service, Innovative Dishes, Attentive Service"
Beep,"North Indian, Chinese, Continental, Pizza, Pasta",4.4,600.0,2.4,"Rakabganj, Agra","Trendy Setting, Customizable Dishes, Great for Dates","North Indian, Chinese, Continental, Pizza, Pasta Trendy Setting, Customizable Dishes, Great for Dates"
Djlecious,"Bakery, Desserts, Beverages",4.0,200.0,3.3,"Civil Lines, Agra","Great Service, Fresh Ingredients, Consistent Quality","Bakery, Desserts, Beverages Great Service, Fresh Ingredients, Consistent Quality"
Mama Chicken Mama Franky House,"North Indian, Mughlai, Rolls, Burger, Momos",4.1,500.0,2.2,"Agra Cantt, Agra","Good Music, Sustainable Practices, Creative Cuisine","North Indian, Mughlai, Rolls, Burger, Momos Good Music, Sustainable Practices, Creative Cuisine"
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",3.6,250.0,3.0,"Khandari, Agra","Quantity, Hospitable Staff, Comfortable Seating","Burger, Fast Food, Biryani, Desserts, Beverages Quantity, Hospitable Staff, Comfortable Seating"
La Pino'z Pizza,"Pizza, Pasta, Italian, Fast Food",3.3,250.0,3.1,"Tajganj, Agra","Good Music, Young Crowd, Breakfast","Pizza, Pasta, Italian, Fast Food Good Music, Young Crowd, Breakfast"
Momocult,"Momos, Chinese, Fast Food",3.8,100.0,2.7,"Civil Lines, Agra","Quantity, Efficient Service, Trendy Setting","Momos, Chinese, Fast Food Quantity, Efficient Service, Trendy Setting"
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",3.9,500.0,2.4,"Agra Cantt, Agra","Main Course, Brewed Beer, Hospitality","Pizza, Fast Food, Desserts, Beverages Main Course, Brewed Beer, Hospitality"
Bistro 57,"Cafe, Pasta, Pizza, Burger, Coffee, Fast Food",3.9,300.0,3.3,"Civil Lines, Agra","Extensive Mocktail Menu, Delicious Food, Warm Atmosphere","Cafe, Pasta, Pizza, Burger, Coffee, Fast Food Extensive Mocktail Menu, Delicious Food, Warm Atmosphere"
Tease Me - Rooftop Cafe,"Italian, North Indian, Fast Food",4.3,750.0,2.2,"Tajganj, Agra","Peaceful Ambience, Young Crowd, Staff","Italian, North Indian, Fast Food Peaceful Ambience, Young Crowd, Staff"
McDonald's,"Burger, Fast Food, Beverages, Cafe",4.0,250.0,2.7,"Civil Lines, Agra","Courteous Staff, Authentic Flavors, Perfect Place","Burger, Fast Food, Beverages, Cafe Courteous Staff, Authentic Flavors, Perfect Place"
Fat Tiger,"North Indian, Rolls, Momos, Desserts, Shake, Coffee, Beverages",3.6,550.0,3.1,"Civil Lines, Agra","Extensive Mocktail Menu, Courteous Staff, Sustainable Practices","North Indian, Rolls, Momos, Desserts, Shake, Coffee, Beverages Extensive Mocktail Menu, Courteous Staff, Sustainable Practices"
La' Chef Multicuisine Restaurant,"North Indian, Chinese, Kebab, South Indian, Continental, Ice Cream, Beverages",3.374251,600.0,7.2,"Sikandra, Agra","Customizable Dishes, Warm Atmosphere, Breakfast","North Indian, Chinese, Kebab, South Indian, Continental, Ice Cream, Beverages Customizable Dishes, Warm Atmosphere, Breakfast"
Lord Of The Drinks,"European, Chinese, North Indian, Italian",4.1,900.0,4.8,"Tajganj, Agra","Memorable Experience, Attentive Service, Hospitality","European, Chinese, North Indian, Italian Memorable Experience, Attentive Service, Hospitality"
Ghoomar Traditional Thali Restaurant,"North Indian, Rajasthani",3.3,500.0,4.0,"Khandari, Agra","Friendly Staff, Great Service, Main Course","North Indian, Rajasthani Friendly Staff, Great Service, Main Course"
Hotel Moti Palace - Pankhuri Restaurant,"North Indian, Chinese, Continental, South Indian, Desserts, Beverages",4.2,500.0,1.4,"Rakabganj, Agra","Exquisite Taste, Great Service, Friendly Staff","North Indian, Chinese, Continental, South Indian, Desserts, Beverages Exquisite Taste, Great Service, Friendly Staff"
Dasaprakash,"South Indian, North Indian, Continental, Chinese, Beverages",3.8,400.0,4.8,"Tajganj, Agra","Delicious Food, Seasonal Menu, Sustainable Practices","South Indian, North Indian, Continental, Chinese, Beverages Delicious Food, Seasonal Menu, Sustainable Practices"
The Ivory Kitchen,"North Indian, Chinese, Pasta, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,550.0,2.5,"Agra Cantt, Agra","Diverse Menu, Trendy Setting, Friendly Staff","North Indian, Chinese, Pasta, Pizza, Sandwich, Fast Food, Desserts, Beverages Diverse Menu, Trendy Setting, Friendly Staff"
Spiced Brew,"Cafe, Continental, Burger, Sandwich, Fast Food, Beverages, Salad, Healthy Food",4.9,400.0,3.6,"Khandari, Agra","Good Bartenders, Staff, Local Sourcing","Cafe, Continental, Burger, Sandwich, Fast Food, Beverages, Salad, Healthy Food Good Bartenders, Staff, Local Sourcing"
Fat Boys Cafe,"Sandwich, Pizza, Fast Food, Chinese, Momos, Pancake, Shake, Beverages",3.7,200.0,2.3,"Agra Cantt, Agra","Peaceful Ambience, Creative Cuisine, Inviting Decor","Sandwich, Pizza, Fast Food, Chinese, Momos, Pancake, Shake, Beverages Peaceful Ambience, Creative Cuisine, Inviting Decor"
Haldiram's,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages",4.2,200.0,4.0,"Khandari, Agra","Delicious Food, Peaceful Ambience, Exquisite Taste","North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages Delicious Food, Peaceful Ambience, Exquisite Taste"
Newcastle Cafe & Restaurant,"North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, Pasta",4.4,550.0,5.8,"Sikandra, Agra","Innovative Dishes, Peaceful Ambience, Hospitable Staff","North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, Pasta Innovative Dishes, Peaceful Ambience, Hospitable Staff"
Food Adda,"Burger, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,200.0,5.4,"Khandari, Agra","Perfect Place, Vintage Decor, Good Music","Burger, Pizza, Sandwich, Fast Food, Desserts, Beverages Perfect Place, Vintage Decor, Good Music"
The Mud Cafe,"Sandwich, Momos, Burger, Fast Food, Beverages, Desserts",3.3,350.0,2.6,"Civil Lines, Agra","Good Bartenders, Warm Atmosphere, Staff","Sandwich, Momos, Burger, Fast Food, Beverages, Desserts Good Bartenders, Warm Atmosphere, Staff"
Raj Rasoi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake",4.2,300.0,2.6,"Civil Lines, Agra","Young Crowd, Hospitable Staff, Consistent Quality","North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake Young Crowd, Hospitable Staff, Consistent Quality"
Sour N Spicy,"North Indian, Chinese, Street Food, Beverages, Desserts",3.9,500.0,2.2,"Tajganj, Agra","Cafe, Weekend Brunch, Live Sports Screening","North Indian, Chinese, Street Food, Beverages, Desserts Cafe, Weekend Brunch, Live Sports Screening"
Bellevue - The Oberoi Amarvilas,"North Indian, Continental, Desserts",4.2,2250.0,3.3,"The Oberoi Amarvilas, Tajganj, Agra","Fresh Ingredients, Attentive Service, Great Service","North Indian, Continental, Desserts Fresh Ingredients, Attentive Service, Great Service"
North 27,"North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, Desserts",4.0,1900.0,4.3,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra","Main Course, Flavorful Creations, Vintage Decor","North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, Desserts Main Course, Flavorful Creations, Vintage Decor"
Delhi 6,"North Indian, Street Food",4.1,75.0,2.7,"Civil Lines, Agra","Courteous Staff, Quantity, Well-priced Options","North Indian, Street Food Courteous Staff, Quantity, Well-priced Options"
Bhagat Halwai,"Mithai, Street Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",4.1,150.0,3.3,"Civil Lines, Agra","Sophisticated, Brewed Beer, Extensive Mocktail Menu","Mithai, Street Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages Sophisticated, Brewed Beer, Extensive Mocktail Menu"
The Curry Station,"North Indian, Chinese, Mughlai",3.9,300.0,3.2,"Lohamandi, Agra","Friendly Staff, Hospitality, Sophisticated","North Indian, Chinese, Mughlai Friendly Staff, Hospitality, Sophisticated"
Chokho Jeeman Marwari Jain Bhojanalya,Rajasthani,4.3,200.0,2.7,"Civil Lines, Agra","Courteous Staff, Sophisticated, Weekend Brunch","Rajasthani Courteous Staff, Sophisticated, Weekend Brunch"
Hotel Orange,"Chinese, North Indian, Mughlai, Biryani, Desserts, Beverages",4.6,600.0,1.8,"Rakabganj, Agra","Warm Atmosphere, Vintage Decor, Satisfying Portions","Chinese, North Indian, Mughlai, Biryani, Desserts, Beverages Warm Atmosphere, Vintage Decor, Satisfying Portions"
Lattice - Grand Mercure (An Accor Hotel),"North Indian, Continental, Chinese",3.9,500.0,3.8,"Crystal Sarovar Premier, Tajganj, Agra","Fresh Ingredients, Seasonal Menu, Hospitable Staff","North Indian, Continental, Chinese Fresh Ingredients, Seasonal Menu, Hospitable Staff"
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",3.9,250.0,2.7,"Civil Lines, Agra","Cozy Ambiance, Delicious Food, Great Service","Pizza, Italian, Pasta, Fast Food, Desserts Cozy Ambiance, Delicious Food, Great Service"
Xero Degrees,"Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Salad, Waffle",3.2,500.0,3.1,"Khandari, Agra","Comfortable Seating, Cafe, Sophisticated","Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Salad, Waffle Comfortable Seating, Cafe, Sophisticated"
Azuri,"North Indian, Chinese, Italian, Fast Food, Juices, Beverages",3.374251,350.0,3.5,"Kamla Nagar, Agra","Main Course, Young Crowd, Delicious Food","North Indian, Chinese, Italian, Fast Food, Juices, Beverages Main Course, Young Crowd, Delicious Food"
Sky Train Restaurant,"North Indian, Chinese, Fast Food, Beverages",4.1,400.0,7.0,"Sikandra, Agra","Vintage Decor, Attentive Service, Extensive Mocktail Menu","North Indian, Chinese, Fast Food, Beverages Vintage Decor, Attentive Service, Extensive Mocktail Menu"
New Pizza King,"Pizza, Fast Food",3.8,250.0,4.1,"Dayal Bagh, Agra","Innovative Dishes, Great for Dates, Young Crowd","Pizza, Fast Food Innovative Dishes, Great for Dates, Young Crowd"
UP 80 Resturant,"North Indian, Chinese, South Indian, Fast Food",3.9,100.0,5.8,"Dayal Bagh, Agra","Diverse Menu, Comfortable Seating, Authentic Flavors","North Indian, Chinese, South Indian, Fast Food Diverse Menu, Comfortable Seating, Authentic Flavors"
GMB - Gopika Sweets & Restaurant,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai",3.8,250.0,2.7,"Tajganj, Agra","Good Music, Clean Environment, Vintage Decor","North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai Good Music, Clean Environment, Vintage Decor"
AAAAR RESTRO,"Pizza, Fast Food",3.3,150.0,3.7,"Kamla Nagar, Agra","Great Service, Cozy Ambiance, Variety of Beer","Pizza, Fast Food Great Service, Cozy Ambiance, Variety of Beer"
Aahar,"North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages",4.0,350.0,2.7,"Civil Lines, Agra","Impeccable Presentation, Weekend Brunch, Great for Dates","North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages Impeccable Presentation, Weekend Brunch, Great for Dates"
Bikaner Express,"North Indian, South Indian, Chinese, Street Food, Beverages",3.5,300.0,3.6,"Kamla Nagar, Agra","Fresh Ingredients, Memorable Experience, Courteous Staff","North Indian, South Indian, Chinese, Street Food, Beverages Fresh Ingredients, Memorable Experience, Courteous Staff"
Achman Foods,"North Indian, South Indian, Street Food, Desserts, Beverages",4.1,200.0,3.7,"Khandari, Agra","Creative Cuisine, Good Bartenders, Trendy Setting","North Indian, South Indian, Street Food, Desserts, Beverages Creative Cuisine, Good Bartenders, Trendy Setting"
Sheroes Hangout,"North Indian, Chinese, Fast Food",4.7,300.0,4.1,"Tajganj, Agra","Sophisticated, Weekend Brunch, Comfortable Seating","North Indian, Chinese, Fast Food Sophisticated, Weekend Brunch, Comfortable Seating"
Deviram Food Circle,"Mithai, Fast Food, Street Food, North Indian, Desserts, Shake",3.9,150.0,7.2,"Sikandra, Agra","Cafe, Efficient Service, Fresh Ingredients","Mithai, Fast Food, Street Food, North Indian, Desserts, Shake Cafe, Efficient Service, Fresh Ingredients"
Berco's - If You Love Chinese,"Chinese, Thai, Asian",4.3,700.0,2.5,"Civil Lines, Agra","Cafe, Friendly Staff, Vintage Decor","Chinese, Thai, Asian Cafe, Friendly Staff, Vintage Decor"
Pizza Cafe,"Pizza, Fast Food, Street Food, Desserts",3.374251,200.0,4.8,"Kamla Nagar, Agra","Vintage Decor, Hospitable Staff, Extensive Mocktail Menu","Pizza, Fast Food, Street Food, Desserts Vintage Decor, Hospitable Staff, Extensive Mocktail Menu"
Burger Farm,"Burger, Wraps, Fast Food, Beverages",3.374251,450.0,4.3,"Tajganj, Agra","Perfect Place, Ambiance, Trendy Setting","Burger, Wraps, Fast Food, Beverages Perfect Place, Ambiance, Trendy Setting"
Capri Restaurant,"North Indian, Mughlai",3.5,425.0,2.7,"Civil Lines, Agra","Weekend Brunch, Great Service, Great for Dates","North Indian, Mughlai Weekend Brunch, Great Service, Great for Dates"
The Mud Shakes,"Beverages, Shake, Waffle, Fast Food",4.1,100.0,2.7,"Khandari, Agra","Local Sourcing, Seasonal Menu, Cafe","Beverages, Shake, Waffle, Fast Food Local Sourcing, Seasonal Menu, Cafe"
Hello Anna,"South Indian, Chinese, Fast Food, Street Food, Ice Cream, Shake",3.0,500.0,6.2,"Sikandra, Agra","Peaceful Ambience, Innovative Dishes, Hospitality","South Indian, Chinese, Fast Food, Street Food, Ice Cream, Shake Peaceful Ambience, Innovative Dishes, Hospitality"
The Indian Curry,"North Indian, Chinese, Oriental, Continental, Desserts, Beverages",3.9,900.0,3.1,"Kamla Nagar, Agra","Exquisite Taste, Perfect Place, Good Music","North Indian, Chinese, Oriental, Continental, Desserts, Beverages Exquisite Taste, Perfect Place, Good Music"
Subway,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",3.9,200.0,3.2,"Civil Lines, Agra","Attentive Service, Ambiance, Good Music","Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages Attentive Service, Ambiance, Good Music"
The Mughal Room - Hotel Clarks Shiraz,"North Indian, Mughlai, Chinese, Beverages, Desserts",4.3,1300.0,2.4,"Hotel Clarks Shiraz, Agra Cantt, Agra","Ambience, Sustainable Practices, Cafe","North Indian, Mughlai, Chinese, Beverages, Desserts Ambience, Sustainable Practices, Cafe"
Taj Terrace - Hotel Taj Resorts,"North Indian, Continental, Chinese, Beverages, Desserts, Shake",4.2,500.0,3.3,"Tajganj, Agra","Extensive Mocktail Menu, Great for Dates, Staff","North Indian, Continental, Chinese, Beverages, Desserts, Shake Extensive Mocktail Menu, Great for Dates, Staff"
Eight Herbs Café,"Cafe, Fast Food, Sandwich, Burger, Pizza, Momos, Waffle, Beverages",3.374251,450.0,2.6,"Civil Lines, Agra","Good Music, Great Service, Attentive Service","Cafe, Fast Food, Sandwich, Burger, Pizza, Momos, Waffle, Beverages Good Music, Great Service, Attentive Service"
Fakira,"North Indian, Chinese, Continental, Fast Food, Beverages",4.2,1100.0,5.6,"Lohamandi, Agra","Perfect Place, Hospitable Staff, Young Crowd","North Indian, Chinese, Continental, Fast Food, Beverages Perfect Place, Hospitable Staff, Young Crowd"
The Sky Restaurant,"North Indian, Chinese",3.9,400.0,7.0,"Sikandra, Agra","Good Bartenders, Exquisite Taste, Great Service","North Indian, Chinese Good Bartenders, Exquisite Taste, Great Service"
Burger King,"Burger, Fast Food, Beverages",3.8,175.0,4.0,"Khandari, Agra","Clean Environment, Exquisite Taste, Creative Cuisine","Burger, Fast Food, Beverages Clean Environment, Exquisite Taste, Creative Cuisine"
Manoj Dhaba,North Indian,3.9,250.0,3.8,"Dayal Bagh, Agra","Breakfast, Trendy Setting, Cozy Ambiance","North Indian Breakfast, Trendy Setting, Cozy Ambiance"
Retro Thrill Cafe,"Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages",3.9,400.0,5.8,"Sikandra, Agra","Ambience, Hospitality, Cafe","Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages Ambience, Hospitality, Cafe"
Pushpak Misthan Bhandar and Sweet,"Mithai, Street Food",4.4,50.0,1.3,"Mantola, Agra","Live Sports Screening, Friendly Staff, Perfect Place","Mithai, Street Food Live Sports Screening, Friendly Staff, Perfect Place"
Gopaldas Pethe Wale,"Mithai, Street Food",3.5,125.0,3.5,"Tajganj, Agra","Delicious Food, Great Service, Young Crowd","Mithai, Street Food Delicious Food, Great Service, Young Crowd"
The Waffle Co.,"Waffle, Sandwich, Bakery, Shake, Coffee, Beverages",3.374251,200.0,2.5,"Civil Lines, Agra","Clean Environment, Cozy Ambiance, Sophisticated","Waffle, Sandwich, Bakery, Shake, Coffee, Beverages Clean Environment, Cozy Ambiance, Sophisticated"
Henry's The English Pub - Radisson Hotel Agra,"Continental, Fast Food, Desserts",3.9,1700.0,4.2,"Radisson Hotel Agra, Tajganj, Agra","Well-priced Options, Ambiance, Innovative Dishes","Continental, Fast Food, Desserts Well-priced Options, Ambiance, Innovative Dishes"
Starbucks Coffee,"Cafe, Coffee, Fast Food",3.374251,450.0,4.3,"Tajganj, Agra","Consistent Quality, Customizable Dishes, Delicious Food","Cafe, Coffee, Fast Food Consistent Quality, Customizable Dishes, Delicious Food"
Deviram Sweets & Restaurant,"Mithai, North Indian, Fast Food, Beverages, Desserts, South Indian",4.2,325.0,1.8,"Rakabganj, Agra","Ambience, Friendly Staff, Delicious Food","Mithai, North Indian, Fast Food, Beverages, Desserts, South Indian Ambience, Friendly Staff, Delicious Food"
Sardar G Malai Chaap Junction,"North Indian, Rolls, Momos",3.8,150.0,2.6,"Civil Lines, Agra","Weekend Brunch, Quantity, Innovative Dishes","North Indian, Rolls, Momos Weekend Brunch, Quantity, Innovative Dishes"
Mughal Pavilion - ITC Mughal,"North Indian, Chinese, Continental",4.0,1250.0,3.1,"ITC Mughal, Tajganj, Agra","Authentic Flavors, Diverse Menu, Staff","North Indian, Chinese, Continental Authentic Flavors, Diverse Menu, Staff"
De Eros Cafe,"Cafe, Coffee",3.374251,150.0,4.9,"Shahganj, Agra","Weekend Brunch, Brewed Beer, Main Course","Cafe, Coffee Weekend Brunch, Brewed Beer, Main Course"
Manoj Restaurant,"South Indian, Chinese, North Indian",4.1,150.0,0.546,"Mantola, Agra","Well-priced Options, Flavorful Creations, Brewed Beer","South Indian, Chinese, North Indian Well-priced Options, Flavorful Creations, Brewed Beer"
Merry Go Round,"North Indian, Chinese, Continental, Fast Food",3.0,650.0,4.5,"Hotel Pushp Villa, Tajganj, Agra","Peaceful Ambience, Hospitable Staff, Young Crowd","North Indian, Chinese, Continental, Fast Food Peaceful Ambience, Hospitable Staff, Young Crowd"
Cake Wala,Bakery,3.6,150.0,2.7,"Agra Cantt, Agra","Ambience, Good Bartenders, Customizable Dishes","Bakery Ambience, Good Bartenders, Customizable Dishes"
Temptation,"North Indian, Chinese, Fast Food",4.1,500.0,3.8,"Kamla Nagar, Agra","Variety of Beer, Warm Atmosphere, Attentive Service","North Indian, Chinese, Fast Food Variety of Beer, Warm Atmosphere, Attentive Service"
Om Restaurant,"North Indian, Beverages",3.6,200.0,2.5,"Agra Cantt, Agra","Brewed Beer, Clean Environment, Cafe","North Indian, Beverages Brewed Beer, Clean Environment, Cafe"
